,input,output
0,"[59, 1, 118, 1, 31, 7, 58, 1, 80, 19, 9, 1, 63, 11, 1, 58, 1, 80, 19, 9, 1, 65, 11, 1, 60, 1, 80, 19, 9, 1, 69, 8, 1, 125, 0, 2, 115, 1, 73, 1, 28, 1, 84, 7, 15, 8, 26, 0, 0, 2, 115, 1, 76, 1, 28, 1, 82, 76, 111, 54, 82, 104, 101, 113, 102, 54, 90, 73, 7, 15, 8, 26, 0, 2, 115, 1, 78, 1, 28, 1, 82, 76, 111, 54, 82, 104, 101, 113, 102, 54, 90, 73, 7, 16, 8, 26, 0, 0, 2, 115, 1, 82, 1, 28, 1, 87, 7, 15, 8, 26, 0, 0, 2, 115, 1, 89, 1, 28, 1, 76, 26, 0, 2, 115, 1, 90, 1, 28, 1, 7, 76, 1, 10, 1, 78, 8, 1, 4, 1, 82, 26, 0, 0, 2, 115, 1, 94, 1, 28, 1, 85, 7, 15, 8, 26, 0, 2, 115, 1, 95, 1, 28, 1, 85, 7, 16, 8, 26, 0, 0, 2, 115, 1, 96, 1, 28, 1, 86, 7, 15, 8, 26, 0, 0, 2, 115, 1, 99, 1, 28, 1, 90, 1, 9, 1, 96, 1, 10, 1, 94, 26, 0, 2, 115, 1, 100, 1, 28, 1, 89, 1, 9, 1, 96, 1, 10, 1, 95, 26, 0, 2, 93, 1, 101, 1, 28, 1, 99, 1, 10, 1, 7, 100, 8, 9, 73, 1, 9, 1, 19, 26, 0, 0, 2, 93, 1, 102, 1, 28, 1, 95, 1, 9, 1, 96, 1, 9, 1, 19, 1, 10, 1, 94, 26, 0, 2, 69, 51, 102, 52, 1, 28, 1, 65, 51, 101, 52, 26, 0, 2, 69, 51, 102, 1, 10, 1, 96, 52, 1, 28, 1, 65, 51, 101, 1, 10, 1, 73, 52, 26, 0, 2, 69, 51, 102, 1, 10, 1, 96, 1, 9, 1, 17, 52, 1, 28, 1, 65, 51, 101, 1, 10, 1, 73, 1, 9, 1, 17, 52, 26, 0, 2, 69, 51, 102, 1, 10, 1, 96, 1, 9, 1, 18, 52, 1, 28, 1, 65, 51, 101, 1, 10, 1, 73, 1, 9, 1, 18, 52, 26, 0, 0, 2, 66, 7, 16, 8, 26, 0, 0, 2, 99, 1, 28, 1, 89, 1, 9, 1, 96, 1, 10, 1, 94, 26, 0, 2, 100, 1, 28, 1, 90, 1, 9, 1, 96, 1, 10, 1, 95, 26, 0, 2, 93, 1, 103, 1, 28, 1, 99, 1, 10, 1, 7, 100, 8, 9, 73, 1, 9, 1, 19, 26, 0, 0, 2, 102, 1, 28, 1, 94, 1, 9, 1, 96, 1, 9, 1, 19, 1, 10, 1, 95, 26, 0, 2, 80, 19, 1, 104, 1, 28, 1, 69, 51, 102, 52, 26, 0, 2, 80, 19, 1, 107, 1, 28, 1, 69, 51, 102, 1, 10, 1, 96, 52, 26, 0, 2, 80, 19, 1, 111, 1, 28, 1, 69, 51, 102, 1, 10, 1, 96, 1, 9, 1, 17, 52, 26, 0, 2, 80, 19, 1, 113, 1, 28, 1, 69, 51, 102, 1, 10, 1, 96, 1, 9, 1, 18, 52, 26, 0, 0, 2, 63, 51, 103, 52, 1, 28, 1, 7, 80, 19, 8, 7, 104, 122, 11, 1, 107, 122, 11, 1, 111, 122, 11, 1, 113, 122, 8, 26, 0, 2, 63, 51, 103, 1, 10, 1, 73, 52, 1, 28, 1, 7, 80, 19, 8, 7, 104, 123, 11, 1, 107, 123, 11, 1, 111, 123, 11, 1, 113, 123, 8, 26, 0, 2, 63, 51, 103, 1, 10, 1, 73, 1, 9, 1, 17, 52, 1, 28, 1, 7, 80, 19, 8, 7, 104, 124, 11, 1, 107, 124, 11, 1, 111, 124, 11, 1, 113, 124, 8, 26, 0, 2, 63, 51, 103, 1, 10, 1, 73, 1, 9, 1, 18, 52, 1, 28, 1, 7, 80, 19, 8, 7, 104, 120, 11, 1, 107, 120, 11, 1, 111, 120, 11, 1, 113, 120, 8, 26, 0, 127]","[0, 0, 1, 0, 0, 0]"
1,"[59, 1, 118, 1, 31, 7, 58, 1, 80, 19, 9, 1, 63, 11, 1, 58, 1, 80, 19, 9, 1, 65, 11, 1, 60, 1, 80, 19, 9, 1, 69, 8, 1, 125, 0, 2, 115, 1, 73, 1, 28, 1, 84, 7, 15, 8, 26, 0, 0, 2, 115, 1, 76, 1, 28, 1, 82, 76, 111, 54, 82, 104, 101, 113, 102, 54, 90, 73, 7, 15, 8, 26, 0, 2, 115, 1, 78, 1, 28, 1, 82, 76, 111, 54, 82, 104, 101, 113, 102, 54, 90, 73, 7, 16, 8, 26, 0, 0, 2, 115, 1, 82, 1, 28, 1, 87, 7, 15, 8, 26, 0, 0, 2, 115, 1, 89, 1, 28, 1, 76, 26, 0, 2, 115, 1, 90, 1, 28, 1, 7, 76, 1, 10, 1, 78, 8, 1, 4, 1, 82, 26, 0, 0, 2, 115, 1, 94, 1, 28, 1, 85, 7, 15, 8, 26, 0, 2, 115, 1, 95, 1, 28, 1, 85, 7, 16, 8, 26, 0, 0, 2, 115, 1, 96, 1, 28, 1, 86, 7, 15, 8, 26, 0, 0, 2, 115, 1, 99, 1, 28, 1, 90, 1, 9, 1, 96, 1, 10, 1, 94, 26, 0, 2, 115, 1, 100, 1, 28, 1, 89, 1, 9, 1, 96, 1, 10, 1, 95, 26, 0, 2, 93, 1, 101, 1, 28, 1, 99, 1, 10, 1, 7, 100, 8, 9, 73, 1, 9, 1, 19, 26, 0, 0, 2, 93, 1, 102, 1, 28, 1, 95, 1, 9, 1, 96, 1, 9, 1, 19, 1, 10, 1, 94, 26, 0, 2, 69, 51, 102, 52, 1, 28, 1, 65, 51, 101, 52, 26, 0, 2, 69, 51, 102, 1, 10, 1, 96, 52, 1, 28, 1, 65, 51, 101, 1, 10, 1, 73, 52, 26, 0, 2, 69, 51, 102, 1, 10, 1, 96, 1, 9, 1, 17, 52, 1, 28, 1, 65, 51, 101, 1, 10, 1, 73, 1, 9, 1, 17, 52, 26, 0, 2, 69, 51, 102, 1, 10, 1, 96, 1, 9, 1, 18, 52, 1, 28, 1, 65, 51, 101, 1, 10, 1, 73, 1, 9, 1, 18, 52, 26, 0, 0, 2, 66, 7, 16, 8, 26, 0, 0, 2, 99, 1, 28, 1, 89, 1, 9, 1, 96, 1, 10, 1, 94, 26, 0, 2, 100, 1, 28, 1, 90, 1, 9, 1, 96, 1, 10, 1, 95, 26, 0, 2, 93, 1, 103, 1, 28, 1, 99, 1, 10, 1, 7, 100, 8, 9, 73, 1, 9, 1, 19, 26, 0, 0, 2, 102, 1, 28, 1, 94, 1, 9, 1, 96, 1, 9, 1, 19, 1, 10, 1, 95, 26, 0, 2, 80, 19, 1, 104, 1, 28, 1, 69, 51, 102, 52, 26, 0, 2, 80, 19, 1, 107, 1, 28, 1, 69, 51, 102, 1, 10, 1, 96, 52, 26, 0, 2, 80, 19, 1, 111, 1, 28, 1, 69, 51, 102, 1, 10, 1, 96, 1, 9, 1, 17, 52, 26, 0, 2, 80, 19, 1, 113, 1, 28, 1, 69, 51, 102, 1, 10, 1, 96, 1, 9, 1, 18, 52, 26, 0, 0, 2, 63, 51, 103, 52, 1, 28, 1, 7, 80, 19, 8, 7, 104, 122, 11, 1, 107, 122, 11, 1, 111, 122, 11, 1, 113, 122, 8, 26, 0, 2, 63, 51, 103, 1, 10, 1, 73, 52, 1, 28, 1, 7, 80, 19, 8, 7, 104, 123, 11, 1, 107, 123, 11, 1, 111, 123, 11, 1, 113, 123, 8, 26, 0, 2, 63, 51, 103, 1, 10, 1, 73, 1, 9, 1, 17, 52, 1, 28, 1, 7, 80, 19, 8, 7, 104, 124, 11, 1, 107, 124, 11, 1, 111, 124, 11, 1, 113, 124, 8, 26, 0, 2, 63, 51, 103, 1, 10, 1, 73, 1, 9, 1, 18, 52, 1, 28, 1, 7, 80, 19, 8, 7, 104, 120, 11, 1, 107, 120, 11, 1, 111, 120, 11, 1, 113, 120, 8, 26, 0, 127]","[0, 1, 0, 0, 0, 0]"
2,"[59, 1, 118, 1, 31, 7, 58, 1, 71, 1, 80, 9, 1, 63, 11, 1, 93, 1, 65, 11, 1, 58, 1, 71, 1, 80, 9, 1, 69, 11, 1, 93, 1, 73, 11, 1, 58, 1, 80, 9, 1, 76, 11, 1, 93, 1, 78, 11, 1, 93, 1, 82, 11, 1, 80, 1, 89, 11, 1, 80, 1, 90, 8, 1, 125, 0, 2, 80, 1, 94, 1, 28, 1, 15, 13, 15, 78, 26, 0, 2, 93, 1, 95, 1, 28, 1, 83, 7, 15, 8, 26, 0, 2, 93, 1, 96, 1, 28, 1, 83, 7, 16, 8, 26, 0, 0, 2, 81, 1, 7, 93, 1, 99, 1, 28, 1, 15, 26, 1, 99, 1, 27, 1, 82, 26, 1, 10, 10, 99, 8, 1, 125, 0, 2, 2, 80, 1, 100, 1, 28, 1, 63, 51, 95, 1, 10, 1, 99, 1, 9, 1, 65, 52, 26, 0, 2, 2, 80, 1, 101, 1, 28, 1, 69, 51, 96, 1, 10, 1, 99, 1, 9, 1, 73, 52, 26, 0, 2, 2, 94, 1, 10, 28, 1, 100, 1, 9, 1, 101, 26, 0, 2, 127, 0, 2, 76, 51, 95, 1, 10, 1, 96, 1, 9, 1, 78, 52, 1, 28, 1, 76, 51, 95, 1, 10, 1, 96, 1, 9, 1, 78, 52, 1, 9, 1, 90, 1, 10, 1, 89, 1, 9, 1, 94, 26, 0, 127, 0]","[0, 0, 1, 0, 0, 0]"
3,"[59, 1, 118, 1, 31, 7, 58, 1, 80, 9, 1, 63, 11, 1, 58, 1, 80, 9, 1, 65, 11, 1, 58, 1, 93, 9, 1, 69, 11, 1, 58, 1, 93, 9, 1, 73, 11, 1, 58, 1, 80, 9, 1, 76, 11, 1, 71, 1, 93, 1, 78, 11, 1, 57, 1, 93, 9, 1, 82, 11, 1, 57, 1, 93, 9, 1, 89, 8, 1, 125, 0, 2, 93, 1, 90, 1, 28, 1, 83, 7, 15, 8, 26, 0, 0, 2, 91, 1, 7, 90, 1, 27, 1, 78, 8, 1, 125, 0, 2, 2, 80, 1, 94, 1, 28, 1, 15, 13, 15, 78, 26, 0, 0, 2, 2, 93, 1, 95, 1, 28, 1, 89, 51, 90, 1, 14, 1, 18, 17, 52, 26, 0, 0, 2, 2, 81, 1, 7, 93, 1, 96, 1, 28, 1, 15, 26, 1, 96, 1, 27, 1, 95, 26, 1, 96, 10, 10, 8, 1, 125, 0, 2, 2, 2, 93, 1, 99, 1, 28, 1, 82, 51, 96, 52, 1, 10, 1, 90, 26, 0, 2, 2, 2, 93, 1, 100, 1, 28, 1, 69, 51, 99, 52, 26, 0, 0, 2, 2, 2, 80, 1, 101, 1, 28, 1, 65, 51, 99, 52, 26, 0, 2, 2, 2, 80, 1, 102, 1, 28, 1, 76, 51, 100, 52, 26, 0, 0, 2, 2, 2, 94, 1, 10, 28, 1, 101, 1, 9, 1, 102, 26, 0, 2, 2, 127, 0, 0, 2, 2, 63, 51, 73, 51, 90, 52, 52, 1, 28, 1, 94, 26, 0, 2, 127, 0, 127, 0]","[0, 0, 0, 0, 1, 0]"
4,"[59, 1, 118, 1, 31, 7, 80, 1, 63, 11, 1, 80, 1, 65, 11, 1, 58, 1, 80, 9, 1, 69, 11, 1, 58, 1, 80, 9, 1, 73, 11, 1, 93, 1, 76, 11, 1, 93, 1, 78, 11, 1, 93, 1, 82, 8, 1, 125, 0, 2, 93, 1, 89, 1, 28, 1, 83, 7, 15, 8, 1, 10, 1, 16, 26, 0, 2, 93, 1, 90, 1, 28, 1, 83, 7, 16, 8, 1, 10, 1, 16, 26, 0, 2, 93, 1, 94, 1, 28, 1, 83, 7, 17, 8, 1, 10, 1, 16, 26, 0, 0, 2, 91, 1, 7, 89, 1, 27, 1, 76, 1, 12, 1, 16, 8, 1, 125, 0, 2, 2, 73, 51, 7, 7, 89, 8, 1, 10, 1, 76, 1, 9, 1, 7, 7, 90, 8, 1, 10, 1, 78, 1, 9, 1, 7, 94, 8, 8, 8, 52, 1, 28, 1, 65, 1, 9, 1, 7, 69, 51, 7, 7, 89, 8, 1, 10, 1, 76, 1, 9, 1, 7, 7, 90, 8, 1, 10, 1, 78, 1, 9, 1, 7, 94, 1, 10, 1, 16, 8, 8, 8, 52, 1, 10, 1, 69, 51, 7, 7, 89, 8, 1, 10, 1, 76, 1, 9, 1, 7, 7, 90, 8, 1, 10, 1, 78, 1, 9, 1, 7, 94, 1, 12, 1, 16, 8, 8, 8, 52, 1, 10, 1, 69, 51, 7, 7, 89, 8, 1, 10, 1, 76, 1, 9, 1, 7, 7, 90, 1, 10, 1, 16, 8, 1, 10, 1, 78, 1, 9, 1, 7, 94, 8, 8, 8, 52, 1, 10, 1, 69, 51, 7, 7, 89, 8, 1, 10, 1, 76, 1, 9, 1, 7, 7, 90, 1, 12, 1, 16, 8, 1, 10, 1, 78, 1, 9, 1, 7, 94, 8, 8, 8, 52, 1, 10, 1, 69, 51, 7, 7, 89, 1, 10, 1, 16, 8, 1, 10, 1, 76, 1, 9, 1, 7, 7, 90, 8, 1, 10, 1, 78, 1, 9, 1, 7, 94, 8, 8, 8, 52, 1, 10, 1, 69, 51, 7, 7, 89, 1, 12, 1, 16, 8, 1, 10, 1, 76, 1, 9, 1, 7, 7, 90, 8, 1, 10, 1, 78, 1, 9, 1, 7, 94, 8, 8, 8, 52, 8, 1, 12, 1, 69, 51, 7, 7, 89, 8, 1, 10, 1, 76, 1, 9, 1, 7, 7, 90, 8, 1, 10, 1, 78, 1, 9, 1, 7, 94, 8, 8, 8, 52, 1, 9, 1, 63, 26, 0, 2, 127, 0, 127, 0]","[1, 0, 0, 0, 0, 0]"
5,"[59, 1, 118, 1, 31, 7, 93, 1, 63, 11, 1, 93, 1, 65, 11, 1, 58, 1, 80, 9, 1, 69, 11, 1, 58, 1, 80, 9, 1, 73, 11, 1, 58, 1, 80, 9, 1, 76, 11, 1, 58, 1, 80, 9, 1, 78, 11, 1, 58, 1, 80, 9, 1, 82, 11, 1, 58, 1, 80, 19, 9, 1, 89, 8, 1, 125, 0, 2, 80, 1, 90, 51, 19, 52, 26, 0, 2, 80, 1, 94, 51, 19, 52, 26, 0, 2, 80, 1, 95, 51, 19, 52, 26, 0, 2, 80, 1, 96, 51, 19, 52, 26, 0, 2, 80, 1, 99, 51, 19, 52, 26, 0, 0, 2, 81, 1, 7, 93, 1, 100, 1, 28, 1, 15, 26, 1, 100, 1, 27, 1, 19, 26, 1, 100, 10, 10, 8, 1, 125, 0, 2, 2, 93, 1, 101, 1, 28, 1, 82, 76, 111, 54, 82, 104, 101, 113, 102, 54, 90, 73, 7, 15, 8, 1, 9, 1, 17, 20, 21, 1, 10, 1, 19, 1, 9, 1, 85, 7, 15, 8, 1, 10, 1, 100, 26, 0, 0, 2, 2, 90, 51, 100, 52, 1, 28, 1, 69, 51, 101, 52, 26, 0, 2, 2, 94, 51, 100, 52, 1, 28, 1, 73, 51, 101, 52, 26, 0, 2, 2, 95, 51, 100, 52, 1, 28, 1, 76, 51, 101, 52, 26, 0, 2, 2, 96, 51, 100, 52, 1, 28, 1, 78, 51, 101, 52, 26, 0, 2, 2, 99, 51, 100, 52, 1, 28, 1, 82, 51, 101, 52, 26, 0, 2, 127, 0, 0, 2, 93, 1, 102, 1, 28, 1, 15, 26, 0, 2, 81, 1, 7, 26, 1, 7, 102, 1, 27, 1, 16, 15, 17, 19, 8, 1, 5, 5, 1, 7, 65, 1, 27, 1, 63, 8, 26, 1, 102, 10, 10, 11, 1, 65, 10, 10, 8, 1, 125, 0, 2, 2, 80, 1, 103, 1, 28, 1, 89, 51, 102, 52, 13, 122, 26, 0, 2, 2, 80, 1, 104, 1, 28, 1, 89, 51, 102, 52, 13, 123, 26, 0, 2, 2, 80, 1, 107, 1, 28, 1, 89, 51, 102, 52, 13, 124, 26, 0, 2, 2, 80, 1, 111, 1, 28, 1, 89, 51, 102, 52, 13, 120, 26, 0, 0, 2, 2, 81, 1, 7, 93, 1, 100, 1, 28, 1, 15, 26, 1, 100, 1, 27, 1, 19, 26, 1, 100, 10, 10, 8, 1, 125, 0, 2, 2, 2, 80, 1, 113, 1, 28, 1, 21, 13, 17, 23, 18, 16, 23, 20, 18, 15, 22, 16, 22, 24, 20, 23, 21, 19, 22, 21, 24, 17, 20, 17, 23, 21, 22, 21, 21, 20, 20, 24, 15, 15, 20, 23, 78, 1, 9, 1, 7, 103, 1, 9, 1, 90, 51, 100, 52, 1, 10, 1, 104, 1, 9, 1, 94, 51, 100, 52, 1, 10, 1, 107, 1, 9, 1, 95, 51, 100, 52, 8, 26, 0, 2, 2, 2, 96, 51, 100, 52, 1, 10, 28, 1, 111, 1, 9, 1, 69, 101, 107, 7, 113, 8, 26, 0, 2, 2, 2, 99, 51, 100, 52, 1, 10, 28, 1, 111, 1, 9, 1, 107, 90, 100, 7, 113, 8, 26, 0, 2, 2, 127, 0, 2, 127, 0, 0, 2, 81, 1, 7, 93, 1, 100, 1, 28, 1, 15, 26, 1, 100, 1, 27, 1, 19, 26, 1, 100, 10, 10, 8, 1, 125, 0, 2, 2, 93, 1, 101, 1, 28, 1, 82, 76, 111, 54, 82, 104, 101, 113, 102, 54, 90, 73, 7, 15, 8, 1, 9, 1, 17, 20, 21, 1, 10, 1, 19, 1, 9, 1, 85, 7, 15, 8, 1, 10, 1, 100, 26, 0, 2, 2, 78, 51, 101, 52, 1, 28, 1, 96, 51, 100, 52, 26, 0, 2, 2, 82, 51, 101, 52, 1, 28, 1, 99, 51, 100, 52, 26, 0, 2, 127, 0, 127]","[1, 0, 0, 0, 0, 0]"
6,"[59, 1, 118, 1, 31, 7, 71, 1, 58, 1, 80, 9, 1, 63, 11, 1, 71, 1, 58, 1, 80, 9, 1, 65, 11, 1, 115, 1, 69, 11, 1, 115, 1, 73, 11, 1, 58, 1, 80, 9, 1, 76, 11, 1, 60, 1, 80, 9, 1, 78, 8, 1, 125, 0, 2, 81, 1, 7, 115, 1, 82, 1, 28, 1, 82, 76, 111, 54, 82, 104, 101, 113, 102, 54, 90, 73, 7, 15, 8, 26, 1, 82, 1, 27, 1, 73, 26, 1, 82, 1, 10, 28, 1, 87, 7, 15, 8, 8, 1, 125, 0, 2, 2, 71, 1, 58, 1, 80, 9, 1, 89, 1, 28, 1, 63, 1, 10, 1, 82, 1, 9, 1, 69, 26, 0, 0, 2, 2, 80, 1, 90, 1, 28, 1, 15, 26, 0, 2, 2, 81, 1, 7, 115, 1, 94, 1, 28, 1, 85, 7, 15, 8, 26, 1, 94, 1, 27, 1, 69, 26, 1, 94, 1, 10, 28, 1, 86, 7, 15, 8, 8, 0, 2, 2, 2, 90, 1, 10, 28, 1, 89, 51, 94, 52, 1, 9, 1, 65, 51, 94, 52, 26, 0, 0, 2, 2, 78, 51, 85, 7, 15, 8, 52, 1, 28, 1, 90, 26, 0, 0, 2, 2, 66, 7, 16, 8, 26, 0, 0, 2, 2, 91, 1, 7, 85, 7, 15, 8, 1, 28, 28, 1, 15, 8, 1, 125, 0, 2, 2, 2, 80, 1, 95, 1, 28, 1, 15, 26, 0, 2, 2, 2, 81, 1, 7, 115, 1, 96, 1, 28, 1, 15, 26, 1, 96, 1, 27, 1, 86, 7, 15, 8, 26, 1, 10, 10, 96, 8, 0, 2, 2, 2, 2, 95, 1, 10, 28, 1, 78, 51, 96, 52, 26, 0, 2, 2, 2, 76, 51, 82, 52, 1, 28, 1, 95, 26, 0, 2, 2, 127, 0, 0, 2, 2, 66, 7, 16, 8, 26, 0, 2, 127, 0, 127]","[1, 0, 0, 0, 0, 0]"
7,"[59, 1, 118, 1, 31, 7, 58, 1, 115, 9, 1, 63, 11, 1, 58, 1, 115, 9, 1, 65, 11, 1, 71, 1, 116, 1, 93, 1, 69, 11, 1, 71, 1, 116, 1, 93, 1, 73, 8, 1, 125, 0, 2, 93, 1, 76, 1, 28, 1, 83, 7, 15, 8, 26, 0, 2, 93, 1, 78, 1, 28, 1, 83, 7, 16, 8, 26, 0, 0, 2, 93, 1, 82, 1, 28, 1, 73, 26, 0, 2, 93, 1, 89, 1, 28, 1, 63, 51, 78, 1, 9, 1, 69, 1, 10, 1, 76, 52, 26, 0, 2, 93, 1, 90, 1, 28, 1, 7, 63, 51, 78, 1, 9, 1, 69, 1, 10, 1, 82, 52, 1, 10, 1, 63, 51, 82, 1, 9, 1, 69, 1, 10, 1, 76, 52, 8, 26, 0, 0, 2, 91, 1, 7, 90, 1, 27, 1, 89, 8, 1, 125, 0, 2, 2, 63, 51, 78, 1, 9, 1, 69, 1, 10, 1, 76, 52, 1, 28, 1, 90, 26, 0, 2, 2, 65, 51, 78, 1, 9, 1, 69, 1, 10, 1, 76, 52, 1, 28, 1, 82, 26, 0, 2, 127, 0, 127]","[1, 0, 0, 0, 0, 0]"
8,"[59, 1, 118, 1, 31, 7, 58, 1, 80, 9, 1, 63, 11, 1, 54, 54, 71, 1, 93, 1, 65, 8, 1, 125, 0, 2, 116, 1, 93, 1, 69, 1, 28, 1, 83, 7, 15, 8, 26, 0, 0, 2, 71, 1, 116, 1, 93, 1, 73, 1, 28, 1, 69, 1, 4, 1, 65, 26, 0, 2, 71, 1, 116, 1, 93, 1, 76, 1, 28, 1, 17, 1, 9, 1, 65, 1, 9, 1, 7, 69, 1, 14, 1, 65, 8, 1, 10, 1, 73, 26, 0, 0, 2, 71, 1, 116, 1, 93, 1, 78, 1, 28, 1, 76, 1, 10, 1, 65, 26, 0, 0, 2, 80, 1, 82, 1, 28, 1, 63, 51, 76, 52, 26, 0, 2, 80, 1, 89, 1, 28, 1, 63, 51, 78, 52, 26, 0, 0, 2, 63, 51, 76, 52, 1, 28, 1, 82, 1, 10, 1, 89, 26, 0, 2, 63, 51, 78, 52, 1, 28, 1, 82, 1, 12, 1, 89, 26, 0, 127, 0]","[0, 0, 0, 1, 0, 0]"
